created_at,tweet_text,retweet_count,author,hashtags
Sun Feb 16 16:10:22 +0000 2020,"Using AI for Good - via @BernardMarr 

#AI #Education #accessibility #TechForGood 
cc @sallyeaves @AkwyZ… https://t.co/tRZs6bGrCa",0,psb_dc,AI Education accessibility TechForGood
Sun Feb 16 16:10:05 +0000 2020,RT @victoriabyard: Jesus Christ. A century of British public service broadcasting demolished to satisfy the egotism and rapacity of an amor…,51,1minutetoeleven,
Sun Feb 16 16:09:20 +0000 2020,RT @sundarpichai: A big welcome to the winning teams of our @GoogleAI Impact Challenge visiting the Bay Area this week! Really inspiring to…,289,Jeyaranimohan,
Sun Feb 16 16:09:04 +0000 2020,"RT @brownhill87: Beer is better in every way.
Better quality
Better range
Better accessibility 
Better drive to improve
Better diversity 
B…",1,zapatobrew,
Sun Feb 16 16:08:48 +0000 2020,"RT @EmeraldGuitars: Listen as Cian O Connell plays a fantastic tune on the Emerald X20

The X20 features sculpted asymmetrical bevels and a…",1,JayKouc52,
Sun Feb 16 16:08:47 +0000 2020,"👉Your dose of weekly links: 
- working with UI frameworks,
- large phone UX
- accessibility and neumorphism
- progr… https://t.co/fKIjg1Tldi",0,WalterStephanie,
Sun Feb 16 16:08:44 +0000 2020,Great to see works finish on the Eyre Square playground which now includes increased accessibility. Of course much… https://t.co/2tuwi1Kt7d,0,OwenHanleyLives,
Sun Feb 16 16:07:15 +0000 2020,RT @just_georgette: Self love is reducing people’s accessibility to you.,34,omifarious,
Sun Feb 16 16:06:39 +0000 2020,I’ve got access to hundreds of icon sets through @UI8. The current count on the page is “755”:… https://t.co/in2XaU39Py,0,cemkesemen,
Sun Feb 16 16:06:26 +0000 2020,He noted that the central location of the market makes it easily reachable by public transport as its proximity to… https://t.co/OrxDFYBdMv,0,lagosagric1,
Sun Feb 16 16:06:16 +0000 2020,"RT @_Ben_Franklin1: Dear @TeamCollins207 
If this was a pay-to-eat to raise funds for Collins’ campaign, then you’re misleading the public…",13,Marie32231633,
Sun Feb 16 16:05:31 +0000 2020,"RT @taraghuveer: Turns out @BernieSanders has a plan to end utility shut offs, tucked into his disability rights platform. An underrated Be…",4395,madisonxcvii,
Sun Feb 16 16:05:15 +0000 2020,In React Native is their a way to deal with asynchronous accessibility state changes? Right now VO is reading the p… https://t.co/Sn6asrxzti,0,_hagnerd,
Sun Feb 16 16:04:28 +0000 2020,"Compared to the DS games where I had to resort to a wiki to figure that out, it's nice. Plus, while the voice detec… https://t.co/5qFbRy1VBG",0,iiotenki,
Sun Feb 16 16:04:22 +0000 2020,RT @HCantrellMN: We must work to secure healthcare affordability and accessibility in MN. I introduced a bill this session to enshrine into…,7,dbly,
Sun Feb 16 16:04:22 +0000 2020,"RT @stevenspohn: Sub vs. Dub

Subtitles are an accessibility feature for the Deaf and hard of hearing communities.

Dubbing is an accessibi…",9242,Jace_ofDiamonds,
Sun Feb 16 16:02:56 +0000 2020,#NAME?,0,gideon_ismail,
Sun Feb 16 16:02:32 +0000 2020,@sjcityhousing @CityofSanJose Often those needing #affordable_housing the most are #physically_disabled and/or… https://t.co/cSILeQ1l3g,0,StudioSchatto,affordable_housing physically_disabled
Sun Feb 16 16:02:23 +0000 2020,"RT @MSFTImagine: Learn how new Microsoft tools and technology are helping bridge the #Accessibility gap in European classrooms, and wider a…",1,MSEurope,Accessibility
Sun Feb 16 16:02:22 +0000 2020,@Toon_Dreessen @coteau @fordnation @OntLiberal Nothing has driven #accessibility down harder/faster than the AFP mo… https://t.co/bRpYhmSox8,0,tkurdi,accessibility
Sun Feb 16 16:01:49 +0000 2020,"RT @zakijam: Powerful piece in @TheLancet: 

Medicare for All could *save* hundreds of billions a year, by adding efficiency to the system,…",0,gastromonica,
Sun Feb 16 16:00:58 +0000 2020,"RT @stevenspohn: Sub vs. Dub

Subtitles are an accessibility feature for the Deaf and hard of hearing communities.

Dubbing is an accessibi…",9242,_StarDust97_,
Sun Feb 16 16:00:46 +0000 2020,RT @nicolebelolan: Anyone going to Small Museum Assoc. conference today? Join my co-presenters &amp; me at 3pm for our #Accessibility Lab! #Sma…,1,smallmuseums,Accessibility
Sun Feb 16 16:00:03 +0000 2020,#UNCRPD (2): Convention Entered Into Force &gt; Became An International Legal Instrument &gt; 2008-05-03.  #Accessibility #Independence #Inclusion,0,firesafety4all,UNCRPD Accessibility Independence Inclusion
Sun Feb 16 16:00:00 +0000 2020,"Learn how new Microsoft tools and technology are helping bridge the #Accessibility gap in European classrooms, and… https://t.co/vPS9q2h5B8",1,MSFTImagine,Accessibility
Sun Feb 16 15:59:50 +0000 2020,Ultra-fast wireless isn't just for mobile phones and gaming. It will also transform the way we work.… https://t.co/NHb7JASSmp,0,milestonecomm,
Sun Feb 16 15:59:29 +0000 2020,"RT @seojyans: the most content creators ask for in exchange for hours upon hours of research, worldbuilding, actual writing is respect. don…",15,mad__honey,
Sun Feb 16 15:58:10 +0000 2020,@CostaCoffee @CupcakeMumma11 You've missed the point and ignored the question. On buildings that can't be changed d… https://t.co/aQ3FedhXuO,0,Mr_Kitney,
Sun Feb 16 15:58:08 +0000 2020,RT @jamlamlaser: Kinda sad I only just realized I can use heat bonding to put fish scale sequins (or other stimmy fabric) to basic clothes…,1,jamlamlaser,
Sun Feb 16 15:57:48 +0000 2020,"RT @stevenspohn: Sub vs. Dub

Subtitles are an accessibility feature for the Deaf and hard of hearing communities.

Dubbing is an accessibi…",9242,bolutaniolu,
Sun Feb 16 15:57:38 +0000 2020,Is your company website #accessible? You may be surprised to learn that the ease of use of your website has a corre… https://t.co/j5yJJKrct1,0,RachelLaBreck,accessible
Sun Feb 16 15:57:18 +0000 2020,"@Imani_Barbarin And people think that when you’re approved, bingo you’ve got instant accessibility to Medicare. Nope gotta wait 2 years",0,tw7khw,
Sun Feb 16 15:57:10 +0000 2020,"RT @TIME: As millions like and re-share a viral post, people with visual impairments often find themselves locked out of the discourse. 

E…",27,sagarchhatwani9,
Sun Feb 16 15:56:18 +0000 2020,"Accessibility also means being able to plug it into a standard wall outlet in any room (!!) 🔌⚡️

And at $50,000, it… https://t.co/7buJ0qKLrx",0,ctabrizi_,
Sun Feb 16 15:56:16 +0000 2020,"It's not a substitute for traditional MRI but that's not the goal. 

The goal is radical accessibility! 🌏",0,ctabrizi_,
Sun Feb 16 15:55:27 +0000 2020,"RT @seojyans: the most content creators ask for in exchange for hours upon hours of research, worldbuilding, actual writing is respect. don…",15,Valaena123,
Sun Feb 16 15:55:09 +0000 2020,"RT @seojyans: the most content creators ask for in exchange for hours upon hours of research, worldbuilding, actual writing is respect. don…",15,itsmclovinbot,
Sun Feb 16 15:54:19 +0000 2020,RT @WJGreenleaf: Our paper using single molecule sequencing to map long range chromatin accessibility is out in Nature Methods! Congrats to…,59,akaplanz,
Sun Feb 16 15:53:54 +0000 2020,"@Alternateline @SarahMarieGraye @mrjamesob @BBC @NetflixUK I’m probably on your side of the argument about the BBC,… https://t.co/JeGLpSEpzc",0,samuelsibeko,
Sun Feb 16 15:53:23 +0000 2020,"RT @_Ben_Franklin1: Dear @TeamCollins207 
If this was a pay-to-eat to raise funds for Collins’ campaign, then you’re misleading the public…",13,EqualVoteLocal,
Sun Feb 16 15:53:21 +0000 2020,#NAME?,0,just_jpt,
Sun Feb 16 15:52:32 +0000 2020,"@Circushellspawn I feel like R rating VS PG viewing  accessibility should explain the ""bullshit"" plenty. But I have… https://t.co/gIa6tAotCo",0,Orokin_Noob,
Sun Feb 16 15:52:30 +0000 2020,"RT @HamOnWheels: @SarahMarieDS @UniOfHull When people cite “historic preservation“ as a reason for not providing accessibility, the history…",196,r_daniels27,
Sun Feb 16 15:52:07 +0000 2020,"Listen as Cian O Connell plays a fantastic tune on the Emerald X20

The X20 features sculpted asymmetrical bevels a… https://t.co/kifq6fHLrc",1,EmeraldGuitars,
Sun Feb 16 15:51:49 +0000 2020,"RT @_marcusherrmann: #React friends, can you think of any other examples of using portals for accessibility besides the modal dialog one?",2,MDarrik,React
Sun Feb 16 15:50:58 +0000 2020,"RT @seojyans: the most content creators ask for in exchange for hours upon hours of research, worldbuilding, actual writing is respect. don…",15,speckledsolana,
Sun Feb 16 15:50:32 +0000 2020,"Court hands Bloomberg a win, ruling that taxis aren't subject to 'public' accessibility requirements https://t.co/Cyu3rjKpfo",0,NewYorkPhotoGal,
Sun Feb 16 15:50:20 +0000 2020,"Join the CVS Health team! See our latest job opening here: https://t.co/rki5Fn1BQy #IT #Boston, MA",0,tmj_BOS_adm,IT Boston
Sun Feb 16 15:49:24 +0000 2020,"RT @stevenspohn: Sub vs. Dub

Subtitles are an accessibility feature for the Deaf and hard of hearing communities.

Dubbing is an accessibi…",9242,ghaash,
Sun Feb 16 15:49:12 +0000 2020,"RT @GreenEyedLilo: Oh, I'd forgotten that Bloomberg fought attempts to improve taxi access for wheelchair-using passengers! #AMJoy https://…",4,Nataya,AMJoy
Sun Feb 16 15:48:13 +0000 2020,@tkurdi @markwafer @RebeccaCokley @maysoonzayid @CIL_Toronto @mich_mcq Yes @CIL_Toronto  gad two great disabled mod… https://t.co/hePHlzGDVi,0,johnyhansome,
Sun Feb 16 15:48:10 +0000 2020,Memes Are Still Inaccessible to the Blind | Time https://t.co/VAtpTyRUL8,0,OP0bVyQn9TinU5H,
Sun Feb 16 15:47:43 +0000 2020,"RT @GreenEyedLilo: Oh, I'd forgotten that Bloomberg fought attempts to improve taxi access for wheelchair-using passengers! #AMJoy https://…",4,ibeahussy,AMJoy
Sun Feb 16 15:47:19 +0000 2020,"RT @_marcusherrmann: #React friends, can you think of any other examples of using portals for accessibility besides the modal dialog one?",2,JacobPWylie,React
Sun Feb 16 15:47:04 +0000 2020,@joshhemsley My guess is that AM radio has a lot more reach than internet accessibility. There is a lot of areas th… https://t.co/MDBgRp1iLR,0,redbeard0x0A,
Sun Feb 16 15:46:53 +0000 2020,"Home Page is now fully responsive woot woot.

Lots more to do, but getting there tiny bit by tiny bit 🎉

After it's… https://t.co/ekRiC2dBgS",0,Becca9941,
Sun Feb 16 15:44:48 +0000 2020,RT @werenotwizards: Definitely worth while supporting this much needed content. Accessibility to games also requires  accessible games medi…,1,aSheepie,
Sun Feb 16 15:44:26 +0000 2020,"#React friends, can you think of any other examples of using portals for accessibility besides the modal dialog one?",2,_marcusherrmann,React
Sun Feb 16 15:44:24 +0000 2020,"@UsihChristopher It’s a big question, accessibility in schools and usability needs to be maintained, lots of restri… https://t.co/wPANWacr1p",0,9CLychak29,
Sun Feb 16 15:44:21 +0000 2020,"HassellInc: Interesting article from @Adobe on the similarities and differences between Accessibility, Universality… https://t.co/MdEXyn03iX",0,jonhassell,
